slug,name,family,aka,operator,parent,country,jurisdiction,system_class,status,status_detail,services,orbit_regimes,dual_use,filing_authority,filing_number,filing_call_sign,filing_absent,launched,in_orbit,licensed,filed,announced,n_shells,constellation_code,constellation_code_status,spectrum,isl,first_launch,service_start,target_completion,target_completion_kind,launch_providers,n_regulatory,n_itu,n_sources,has_primary,n_discrepancies,supersedes,superseded_by,notes,added,verified,verified_age_months,stale
amazon-leo-d2d,Amazon Leo Direct-to-Device,amazon-leo,Amazon Leo D2D; Kuiper direct-to-device,Kuiper Systems LLC,"Amazon.com, Inc.",US,US,direct-to-device,filed,"Application filed with the FCC on 24 July 2026 for up to 5,105 satellites, using the L- and S-band spectrum held by Globalstar, whose acquisition by Amazon was announced in April 2026 and is expected to close in 2027. No grant. Service stated as no earlier than 2028.",direct-to-device; voice; messaging; broadband; iot,LEO,civil,FCC,SAT-LOA-20260601-00224,S00917,,,,,5105,,1,,,L; S,unknown,,,,operator-target,,1,0,4,yes,0,,,"Contributed by Dan York on 29 July 2026, having been filed after his IETF 126 survey was presented. The first entry in the registry to come from the community rather than the initial sweep, and the first whose provenance was upgraded by a contributor: Dan supplied the ICFS file number on 3 August 2026, and the count, the band edges and the lifetime now come from Schedule S instead of trade press. Provenance gap: the orbital geometry is in an attachment, ""Amazon Leo D2D Application - Orbital Parameters Attachment.zip"", which has not been opened, and the public version of Exhibit C (technical attachment and ODAR) has not been read. A confidential version of Exhibit C is withheld, so some technical detail will not become public. This record and globalstar-c3 will need reconciling if the Amazon acquisition of Globalstar completes: two systems, one spectrum position, one eventual owner. Whether the D2D constellation supersedes the C-3 plan or runs alongside it is not yet stated anywhere this registry has found.",2026-07,2026-08-03,1,no
amazon-leo-gen1,Amazon Leo Gen1,amazon-leo,Project Kuiper; Kuiper Gen1,Kuiper Systems LLC,"Amazon.com, Inc.",US,US,broadband,deploying,"Production satellites launching since April 2025 and enterprise beta service from 2025, but far short of the interim deployment milestone, which the FCC waived in part with conditions in June 2026.",broadband; backhaul,LEO,civil,FCC,SAT-LOA-20190704-00057,S3051,,398,,3232,3236,,3,,,Ku; Ka; V,optical,2023-10-06,2025,2029-07-30,regulatory-milestone,United Launch Alliance; Arianespace; Blue Origin; SpaceX,3,0,3,yes,2,,,"Amazon renamed Project Kuiper to Amazon Leo in 2026 and the FCC order adopts the new name for both constellation and licensee, while the licensee of record remains Kuiper Systems LLC. Provenance gap: FCC 20-102 is cited through the fcc.report mirror of the grant attachment rather than a docs.fcc.gov permanent URL, and the 2024 orbital parameters modification (39 FCC Rcd 2180) has not been read. The shells recorded here are the 2020 configuration, so the current authorised geometry may differ. This is why each shell carries its own src.",2026-07,2026-07-29,2,no
amazon-leo-gen2,Amazon Leo Gen2 and Polar,amazon-leo,Kuiper Gen2; Amazon Leo Polar system; Amazon 2026 V-band Grant,Kuiper Systems LLC,"Amazon.com, Inc.",US,US,broadband,licensed,Authorised 10 February 2026 in the 2021 V-band processing round. Nothing launched under this authorisation; the first milestone is six years out.,broadband; backhaul,LEO,civil,FCC,SAT-LOA-20211104-00145,S3105,,,,4504,,,1,,,V,,,,2035-02-10,regulatory-milestone,,2,0,2,yes,1,,,"Provenance gap: this record is built entirely from the description of the 10 February 2026 grant contained in a *later* order (DA 26-553). The grant stamp itself, under ICFS SAT-LOA-20211104-00145 and SAT-AMD-20250311-00068, has not been read. Reading it would supply the orbital parameters for both the Gen2 and Polar systems, which are the main gap in this record. Note the source grading subtlety: DA 26-553 is a primary source, and it is a primary source *for what it says*, which is the counts and the milestone dates. It is not a source for the shell geometry, which it does not discuss. A source's grade does not extend beyond its contents.",2026-07,2026-07-29,2,no
ast-spacemobile,AST SpaceMobile,ast-spacemobile,SpaceMobile; BlueBird; BlueWalker; FM-1 / FM-2,"AST & Science, LLC","AST SpaceMobile, Inc.",US,US,direct-to-device,deploying,"Fully authorised for 248 satellites as of April 2026, including supplemental coverage from space and direct-to-cell operations, with spectrum leases from AT&T, Verizon and FirstNet granted the same day. A small number of satellites are in orbit.",direct-to-device; broadband,LEO,civil,FCC,SAT-LOA-20200413-00034,S3065,,9,,248,248,,5,,,V; S; L,unknown,2022-09-10,,,,SpaceX; Blue Origin,1,0,3,yes,1,,,"This record is the registry's worked example of orbital geometry that the constellation code cannot express for a reason unrelated to phasing: every authorised shell here is elliptical, with apogee and perigee stated separately and a station-keeping tolerance attached. The code assumes a single circular altitude. Four of the five shells also fail the code's divisibility or plane-count assumptions independently. AST's satellites are physically very large, which is why the constellation size is small relative to its coverage ambition. Recording sat_mass_kg for this system would be valuable and has not been done.",2026-07,2026-07-29,2,no
blue-origin-sunrise,Blue Origin Project Sunrise,blue-origin,Project Sunrise; Blue Origin Orbital Data Center System,"Blue Origin, LLC","Blue Origin, LLC",US,US,orbital-compute,filed,Application filed 19 March 2026; no grant. NASA filed an objection in May 2026. Nothing launched.,orbital-compute,LEO,civil,FCC,,,,,,,51600,,1,,,Ka; optical,external,,,,,,2,0,3,no,1,,,"Provenance gap: no primary source, and the ICFS file number has not been retrieved. Reading the application would give the shell structure, the satellite design and the basis for the 51,600 figure, and reading NASA's objection would give the first documented instance in this registry of a federal science agency contesting a constellation filing on operational grounds. Both are worth doing.",2026-07,2026-07-29,2,no
blue-origin-terawave,Blue Origin TeraWave,blue-origin,Tera Wave,"Blue Origin, LLC","Blue Origin, LLC",US,US,broadband,announced,"Announced January 2026, with deployment stated to begin Q4 2027. No FCC file number has been retrieved for TeraWave itself, though it is referred to in the Project Sunrise filing as the optical backbone that system depends on.",broadband; backhaul,LEO; MEO,civil,,,,"No filing reference retrieved. TeraWave is described in trade press as an announced constellation and is referenced in Blue Origin's Project Sunrise FCC application as the communications network Sunrise will relay through, but no application or grant for TeraWave itself has been located in this pass. It may well exist; this is a gap in our work, not a statement that none exists.",,,,,5408,1,,,,optical,,,2027,operator-target,Blue Origin,0,0,2,no,1,,,"Provenance gap: no primary source and no filing reference. Everything here is trade press and a conference slide, and the headline count is disputed three ways. Locating a TeraWave application in ICFS would fix all of it. Recorded despite that because Project Sunrise, which does have a filing, depends on TeraWave for its ground path. A registry that carried Sunrise but not TeraWave would hide the dependency.",2026-07,2026-07-29,2,no
china-mobile-l1,China Mobile L1 and M1,china-mobile,CHINAMOBILE-L1; CHINAMOBILE-M1,China Mobile,"China Mobile Communications Group, state-owned",CN,CN,broadband,filed,"Advance publication information received by the ITU on 30 December 2025 and published 14 April 2026, one day after the CTC-1 and CTC-2 filings and part of the same wave. API/A only: no coordination request, no national authorisation identified, nothing launched.",broadband; direct-to-device,VLEO; LEO; MEO,unknown,other,API/A 14312 (notice ID 125545461),,,,,,2664,,5,,,,unknown,,,,,,0,2,2,yes,0,,,"Found by scanning the non-GSO tables of the downloaded BR IFICs for Chinese networks with large plane counts, while looking for something else. It appears in no secondary source consulted for this registry and was not in the IETF 126 survey. A 2,664-satellite filing by the largest mobile operator in the world is not a marginal entry, and the fact that it surfaced only by reading the ITU publication directly is the clearest argument this registry has for doing so routinely. The 251 km shell is worth attention on its own: 960 satellites in 960 separate planes at an altitude where drag is severe. Whether that is a serious deployment plan or a spectrum placeholder is exactly the question the API/A stage cannot answer.",2026-07,2026-07-29,2,no
cowboy-space-stampede,Cowboy Space Stampede,cowboy-space,Stampede,Cowboy Space,"Cowboy Space (San Carlos, California)",US,US,orbital-compute,filed,"Application filed 14 May 2026. The company states the satellite design is unfinished and that a licence modification will be needed before service, which is unusually explicit about how provisional the filing is.",orbital-compute,LEO,civil,FCC,,,,,,,20000,,1,,,,unknown,2028,,,operator-target,,1,0,2,no,1,,,"Provenance gap: no primary source and no file number. This record is worth keeping in view for a reason beyond its size. The company told the regulator that the satellite design is unfinished and that a modification will be needed before service. That is a filing made to hold a place in a processing round, stated as such, by the applicant. It is the cleanest documented instance in this registry of the mechanism Dan York and Nitinder Mohan discussed at IETF 126: filings as spectrum positioning rather than deployment commitments. Recording it as `filed` and never as `licensed` is exactly the distinction the registry exists to preserve.",2026-07,2026-07-29,2,no
ctc-1,CTC-1,ctc,China Radio Spectrum next-generation constellation 1,Institute of Radio Spectrum Utilization and Technological Innovation,Chinese state research institute,CN,CN,other,filed,Advance publication information received by the ITU on 29 December 2025 and published on 17 March 2026. API/A is the earliest and weakest stage of the ITU process: it precedes the coordination request and confers no coordination priority. Nothing launched and no deployment programme identified.,other,LEO,unknown,other,API/A 14285 (notice ID 125545446),,,,,,96714,,1,,,,unknown,,,,,,0,1,4,yes,1,,,"Upgraded from secondary to primary on 2026-07-29 by querying the ITU Space Network List for the filing identity and then reading the declared orbit data out of BR IFIC 3067 directly. See scripts/itu_query.sh, which reproduces both steps. CTC-1 and CTC-2 together account for about 193,000 of the roughly 200,000 satellites in the December 2025 Chinese filing wave, and therefore for a large share of any global aggregate. A reader deciding how much weight to put on a 2.3 million total should know that roughly 8 per cent of it comes from two filings by a single research institute, with a stated purpose that nobody has confirmed. Making that visible is the point of keeping the record.",2026-07,2026-07-29,2,no
ctc-2,CTC-2,ctc,China Radio Spectrum next-generation constellation 2,Institute of Radio Spectrum Utilization and Technological Innovation,Chinese state research institute,CN,CN,other,filed,Advance publication information received by the ITU on 29 December 2025 and published on 17 March 2026. API/A is the earliest and weakest stage of the ITU process: it precedes the coordination request and confers no coordination priority. Nothing launched and no deployment programme identified.,other,LEO,unknown,other,API/A 14288 (notice ID 125545445),,,,,,96714,,1,,,,unknown,,,,,,0,1,4,yes,1,,,"Upgraded from secondary to primary on 2026-07-29 by querying the ITU Space Network List for the filing identity and then reading the declared orbit data out of BR IFIC 3067 directly. See scripts/itu_query.sh, which reproduces both steps. CTC-1 and CTC-2 together account for about 193,000 of the roughly 200,000 satellites in the December 2025 Chinese filing wave, and therefore for a large share of any global aggregate. A reader deciding how much weight to put on a 2.3 million total should know that roughly 8 per cent of it comes from two filings by a single research institute, with a stated purpose that nobody has confirmed. Making that visible is the point of keeping the record.",2026-07,2026-07-29,2,no
eutelsat-oneweb,Eutelsat OneWeb,oneweb,OneWeb; WorldVu; OneWeb Ku/Ka NGSO FSS system,WorldVu Satellites Limited,Eutelsat Group (merged with OneWeb 2023),GB,GB; US,broadband,operational,"First-generation constellation complete and in wholesale service. Authorised by the United Kingdom; US market access granted by the FCC and modified in 2023 from 720 to 716 satellites. A requested expansion to 6,372 satellites was deferred, not granted.",broadband; backhaul,LEO,civil,FCC,SAT-MPL-20200526-00062,S2963,,660,,716,6372,,3,,,Ku; Ka,none,2019-02-27,2023,,,Arianespace; SpaceX; ISRO,2,0,3,yes,2,,,"Provenance gap: the UK authorisation held by WorldVu Satellites Limited has not been retrieved, so the licensed figure recorded here is strictly the number for which US market access is granted. Eutelsat Next, the announced successor constellation, is not recorded and needs its own record once a filing or a firm figure can be traced.",2026-07,2026-07-29,2,no
globalstar-c3,Globalstar C-3,globalstar,Globalstar-C3 MSS System; Globalstar third generation; AST-NG-C-3,Globalstar France SAS,"Globalstar, Inc. (acquisition by Amazon.com, Inc. filed with the FCC 26 May 2026; pleading cycle open as of June 2026)",US,FR,direct-to-device,filed,"Licensed by France and notified to the ITU. US market access is sought through a pending petition for declaratory ruling, not a US licence, so the system has no FCC authorisation. Nothing launched.",voice; messaging; direct-to-device; iot,LEO; MEO,civil,other,SAT-PDR-20250214-00047,S3233,,,,48,6221,,1,,,,unknown,,,,,,3,1,5,yes,1,,,"Globalstar's operational second-generation service is a separate system and has its own record, globalstar-hibleo. The deck's ""97 launched"" and ""~85 planned"" belong there, not here. This record is also the registry's worked example of the flag-of-convenience pattern: a US operator's constellation licensed by a European administration and reaching the US market through a declaratory ruling rather than a licence. It is why `country` and `jurisdiction` are separate fields. Provenance gap: the French authorisation has not been retrieved, so the 48-satellite figure rests on the FCC's description of it rather than on the French decision itself.",2026-07,2026-07-29,2,no
globalstar-hibleo,Globalstar second generation,globalstar,HIBLEO-4; HIBLEO-X; Globalstar 2nd generation,Globalstar Licensee LLC; GUSA Licensee LLC,"Globalstar, Inc. (acquisition by Amazon.com, Inc. filed 26 May 2026; pleading cycle open)",US,US; FR,direct-to-device,operational,"In commercial service, and the backbone of Apple's Emergency SOS. Operates as one system across a US-licensed component (HIBLEO-4) and a France-licensed component (HIBLEO-X) reached through a US market access grant.",voice; messaging; iot; direct-to-device,LEO,civil,FCC,,,,97,,,,85,1,,,,none,,,,,,3,0,2,yes,0,,,"Split from globalstar-c3 so that the operational system and the planned next-generation system are not conflated: they have different satellite counts, different licensing administrations and different regulatory states. The deck's ""~85 planned / 97 launched"" belongs here and its ""1,946 (C-3) / 0"" belongs on globalstar-c3. Provenance gap: no file numbers for either the HIBLEO-4 licence or the HIBLEO-X market access grant, and no orbital parameters. Exhibit A to the Amazon transfer application lists every Globalstar authorisation and would close most of this in one read. If the Amazon transaction completes, this system and Amazon Leo come under one owner, alongside Amazon's stated intention to file for a global direct-to-device system. Worth tracking as a concentration question rather than only a technical one.",2026-07,2026-07-29,2,no
guowang-gw-2,Guowang GW-2,guowang,GW-2; Guowang high shell; Xingwang; SatNet,"China Satellite Network Group Co., Ltd. (China SatNet)","State-owned, established April 2021",CN,CN,broadband,deploying,"The higher of Guowang's two ITU networks, and the one being deployed. A notification (Part I-S) received 7 November 2025 declares 1,728 satellites, roughly a quarter of the figure in the earlier coordination request.",broadband; government-secure,LEO,unknown,other,Part I-S (notice ID 125500219); CR/C 5486; API/A 12664,,,216,,1728,6912,,1,,,,unknown,2024-12,,,,China Aerospace Science and Technology Corporation (CASC),0,1,4,yes,1,,,"Provenance upgraded 2026-07-29 from trade press to the ITU filing and publication. See scripts/itu_query.sh. Provenance gap: the CR/C figure of 6,912 could not be confirmed. Its publication, BR IFIC 2996 of May 2023, is outside the roughly eighteen-month window in which BR IFICs are downloadable without a subscription. Closing it needs the BR IFIC DVD-ROM or a TIES account.",2026-07,2026-07-29,2,no
guowang-gw-a59,Guowang GW-A59,guowang,GW-A59; Guowang low shell; 国网,"China Satellite Network Group Co., Ltd. (China SatNet)","State-owned, established April 2021",CN,CN,broadband,filed,"The lower of Guowang's two ITU networks. Coordination request on file and modified three times, most recently published in BR IFIC 3055 in September 2025. No notification (Part I-S) has been filed for this network, so nothing under it has been brought into use in the ITU sense.",broadband; government-secure,VLEO; LEO,unknown,other,CR/C 5448 (notice ID 120520170); API/A 12666,,,,,,6080,,3,,,,unknown,,,,,,0,1,4,yes,1,,,"Provenance upgraded 2026-07-29 from trade press to the ITU filing and publication. See scripts/itu_query.sh. Launch reporting does not split Guowang launches between the two networks, so counts.launched is recorded on guowang-gw-2 as a family-level figure rather than duplicated here.",2026-07,2026-07-29,2,no
honghu-3,Honghu-3,honghu,Honghu; 鸿鹄-3,Shanghai Lanjian Hongqing Technology Company (Hongqing Technology),LandSpace holds 48 per cent,CN,CN,broadband,filed,"Advance publication information received by the ITU on 8 September 2023 and published 31 October 2023, with comments (API/B) published April 2024. No coordination request has been filed. Nothing launched. The third Chinese constellation of more than 10,000 satellites to be filed, after Guowang and Qianfan.",broadband,LEO,unknown,other,API/A 13448 (notice ID 123545296),,,,,,10000,,1,,,,unknown,,,,,LandSpace,0,1,4,yes,2,,,"Provenance partially upgraded 2026-07-29: the ITU filing identity, stage and dates now come from the Space Network List. The declared satellite count does not, because it lives in BR IFIC 3008 (October 2023), which is outside the roughly eighteen-month window in which BR IFICs can be downloaded without a subscription. Closing that needs the BR IFIC DVD-ROM or a TIES account. This is the clearest instance in the registry of the retention window blocking an otherwise easy provenance upgrade.",2026-07,2026-07-29,2,no
